factor,IC_mean,IC_std,IC_IR,IC_pos%,IC_abs,N
vol_14d_z,-0.07773,0.27127,-0.2866,38.2,0.22854,1853
vol_7d_z,-0.0741,0.26778,-0.2767,38.9,0.22319,1853
mom_14d_z,-0.05322,0.26181,-0.2033,41.9,0.21216,1853
mom_7d_z,-0.05226,0.26772,-0.1952,41.9,0.21764,1853
skew_z,-0.0395,0.23764,-0.1662,42.9,0.19252,1853
kurt_z,-0.02472,0.23147,-0.1068,45.1,0.18119,1853
flow_z,-0.01646,0.24396,-0.0675,46.8,0.18935,1853
fr_z,0.01557,0.23664,0.0658,53.3,0.18655,1853
fr_sign,0.01557,0.23664,0.0658,53.3,0.18655,1853
supply_z,0.00354,0.22994,0.0154,49.2,0.17968,1853
fr_cycle_z,-0.00276,0.23278,-0.0119,50.0,0.1828,1853
fr_trend_z,-0.00168,0.23286,-0.0072,50.1,0.18278,1853
supply_chg_z,0.00155,0.22789,0.0068,51.4,0.17883,1853
